Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Graymont Western US. Inc. - Tacoma,2017,Minerals,Lime Manufacturing,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,23,0,23,0,0,0,0,0,0,Facility shut down.,1,"(47.271365, -122.397262)",POINT (-122.39726200000001 47.271365)
BP West Coast Products LLC,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"BP Company North America, Inc",,,,5254096,0,5254096,,,,,,,,,,
McKinley Paper Co. - Washington Mill - Port Angeles,2015,Pulp and Paper,TMP Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries Co Ltd,Port Angeles,Clallam,Olympic Region Clean Air Agency,223631,214771,1633,4767,2460,0,0,0,0,,3,"(48.134623, -123.467524)",POINT (-123.46752400000001 48.134623)
Northwest Pipeline Willard C/S - Cook,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,19671,0,17863,1798,9,0,0,0,0,,1,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2015,Chemicals,Nitric Acid Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,155888,0,10731,1,145157,0,0,0,0,,3,"(46.165957, -119.017218)",POINT (-119.017218 46.165957000000006)
"Interfor US, Inc. - Tacoma",2013,Wood Products,Lumber Mills,321113,Sawmills,Simpson Lumber Company LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,13395,0,13381,6,7,0,0,0,0,,1,"(47.260211, -122.426476)",POINT (-122.42647600000001 47.260211)
Frederickson Power LP - Tacoma,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Atlantic Power,Tacoma,Pierce,Puget Sound Clean Air Agency,496752,0,496248,230,274,0,0,0,0,,3,"(47.086342, -122.365686)",POINT (-122.36568599999998 47.086342)
"REG Marketing & Logistics GRP, LLC",2019,Transportation Fuel Supplier,Transportation Fuel Supplier,325199,All Other Basic Organic Chemical Manufacturing,"Renewable Energy Group, Inc.",,,,14389,10484,3905,,,,,,,,,,
TransAlta Centralia Generation LLC - Centralia,2018,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,6097084,0,6049290,17482,30312,0,0,0,0,,5,"(46.7559, -122.8578)",POINT (-122.8578 46.7559)
CityServiceValcon LLC,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"CityServiceValcon, LLC",,,,396100,1905,394195,,,,,,,,,,
Sinclair Oil Corporation,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,,,,89794,0,89794,,,,,,,,,,
"Rainier Veneer, Inc. - Spanaway",2016,Wood Products,Engineered Wood,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,17294,15416,1671,30,177,0,0,0,0,,1,"(47.062059, -122.318981)",POINT (-122.318981 47.062059)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2013,Minerals,Glass Production,327213,Glass Container Manufacturing,Owens-Illinois Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,19199,0,19186,6,7,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Imerys Minerals Quincy Plant - Quincy,2014,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,21865,0,21842,10,12,0,0,0,0,,1,"(47.239948, -119.838831)",POINT (-119.83883100000001 47.239948)
Lamb Weston - Warden,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,19414,0,19393,9,11,0,0,0,0,,1,"(46.971504, -119.055427)",POINT (-119.05542700000001 46.971504)
Valero Marketing and Supply Company,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),The Premcor Refining Group,,,,162579,10502,152077,,,,,,,,,,
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2015,Wood Products,Engineered Wood,321212,Softwood Veneer and Plywood Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,71151,68501,1734,132,784,0,0,0,0,,2,"(48.613175, -118.116106)",POINT (-118.116106 48.613175)
US Army Joint Base Lewis-McChord - Pierce Co.,2019,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,74601,0,57927,16640,34,0,0,0,0,,2,"(47.1142, -122.5365)",POINT (-122.53650000000002 47.1142)
Phillips 66 Ferndale Refinery - Ferndale,2018,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,798061,0,794513,1529,2019,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
Inland Empire Paper Company - Spokane,2012,Pulp and Paper,TMP Mills,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,36152,17985,17755,162,250,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
US Army Joint Base Lewis-McChord - Pierce Co.,2013,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,83806,0,60203,23560,43,0,0,0,0,,2,"(47.1142, -122.5365)",POINT (-122.53650000000002 47.1142)
Northwest Pipeline C/S - Washougal,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Washougal,Clark,Southwest Clean Air Agency,21035,0,18287,2738,10,0,0,0,0,,1,"(45.63236, -122.36516)",POINT (-122.36515999999999 45.63236)
Northwest Pipeline C/S - Chehalis,2017,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,17894,0,16480,1405,9,0,0,0,0,,1,"(46.533325, -122.87373)",POINT (-122.87373000000001 46.533325)
The Boeing Company - Renton,2013,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,19419,0,19400,9,11,0,0,0,0,,1,"(47.498257, -122.211346)",POINT (-122.211346 47.498257)
Lamb Weston - Richland,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,50410,1794,44211,4374,31,0,0,0,0,,2,"(46.309314, -119.297267)",POINT (-119.29726700000002 46.309314)
SGL Carbon LLC - Moses Lake,2017,Manufacturing,Transportation,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,5824,0,5818,3,3,0,0,0,0,,1,"(47.208993, -119.285437)",POINT (-119.285437 47.208993)
Sierra Pacific Industries - Shelton,2016,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Shelton,Mason,Olympic Region Clean Air Agency,13355,13172,0,26,157,0,0,0,0,,1,"(47.213448, -123.096517)",POINT (-123.09651699999999 47.213448)
"IPC (USA), Inc.",2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ITOCHU Corporation,,,,395591,0,395591,,,,,,,,,,
Matheson - Anacortes,2016,Chemicals,Hydrogen Production,325120,Industrial Gas Manufacturing,Linde Gas North America LLC,Anacortes,Skagit,Northwest Clean Air Agency,55127,0,55127,0,0,0,0,0,0,,2,"(48.467646, -122.554343)",POINT (-122.554343 48.467646)
"World Fuel Services, Inc.",2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",,,,314725,3016,311709,,,,,,,,,,
PacifiCorp Energy - Chehalis Generation Facility - Chehalis,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,445152,0,444700,206,246,0,0,0,0,,3,"(46.6226, -122.9145)",POINT (-122.91449999999999 46.6226)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2019,Minerals,Glass Production,327213,Glass Container Manufacturing,Owens-Illinois Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,22844,0,22828,8,9,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Roosevelt Regional Landfill - Roosevelt,2016,Waste,Municipal Landfills,562212,Solid Waste Landfill,"Republic Services, Inc.",Roosevelt,Klickitat,Ecology: Central Regional Office,196768,0,287,196480,1,0,0,0,0,,3,"(45.807146, -120.179785)",POINT (-120.179785 45.807146)
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Mount Vernon,Skagit,Northwest Clean Air Agency,154544,0,154384,73,87,0,0,0,0,,3,"(48.4553, -122.435)",POINT (-122.43499999999999 48.4553)
REG Grays Harbor LLC - Hoquiam,2014,Chemicals,Other Chemicals,325199,All Other Basic Organic Chemical Manufacturing,Renewable Energy Group Inc.,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,11832,0,11820,6,7,0,0,0,0,,1,"(46.968196, -123.853622)",POINT (-123.853622 46.968196)
Weyerhaeuser Raymond Lumber - Raymond,2014,Wood Products,Lumber Mills,321113,Sawmills,Weyerhaeuser Co.,Raymond,Pacific,Olympic Region Clean Air Agency,41976,41423,0,80,474,0,0,0,0,,2,"(46.688088, -123.737495)",POINT (-123.73749500000001 46.688088)
Valero Marketing and Supply Company,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),The Premcor Refining Group,,,,18171,1205,16966,,,,,,,,,,
Northwest Pipeline Willard C/S - Cook,2013,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,27866,0,23744,4109,13,0,0,0,0,,2,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
Cowlitz County Headquarters Landfill - Castle Rock,2014,Waste,Municipal Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,154619,1205,0,153411,4,0,0,0,0,,3,"(46.246902, -122.772284)",POINT (-122.772284 46.246902)
CHS Inc.,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,4247,Petroleum and Petroleum Products Merchant Wholesalers,CHS Inc,,,,613851,9449,604402,,,,,,,,,,
Simplot Feeders LTD. - Burbank,2018,Food Production,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,29517,0,0,2166,27352,0,0,0,0,,2,"(46.133131, -118.90629)",POINT (-118.90629 46.133131)
Lamb Weston - Quincy,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,40468,0,40427,19,23,0,0,0,0,,2,"(47.234413, -119.869914)",POINT (-119.869914 47.234413)
Grant County Landfill 1 - Ephrata,2018,Waste,Municipal Landfills,562212,Solid Waste Landfill,Grant County,Ephrata,Grant,Ecology: Eastern Regional Office,47089,0,0,47089,0,0,0,0,0,,2,"(47.270759, -119.573764)",POINT (-119.573764 47.270759)
"Tyson Fresh Meats, Inc. - Wallula",2015,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,74580,0,20808,53760,12,0,0,0,0,,2,"(46.137521, -118.913051)",POINT (-118.91305099999998 46.137521)
CityServiceValcon LLC,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"CityServiceValcon, LLC",,,,396231,17935,378296,,,,,,,,,,
Starbucks Kent Flexible Plant - Kent,2017,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,14186,0,14172,7,8,0,0,0,0,,1,"(47.436276, -122.237648)",POINT (-122.237648 47.436276)
University of Washington Seattle Campus - Seattle,2012,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,83585,0,83499,39,47,0,0,0,0,,2,"(47.653614, -122.303608)",POINT (-122.303608 47.653614)
Simplot Feeders LTD. - Burbank,2019,Food Production,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,32157,0,1072,2335,28750,0,0,0,0,First year reporting emissions from onsite combustion.,2,"(46.133131, -118.90629)",POINT (-118.90629 46.133131)
"SEH America, Inc - Vancouver",2012,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,12150,0,12138,6,7,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
"Analog Devices, Inc. - Camas",2017,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,Linear Technology Corporation,Camas,Clark,Southwest Clean Air Agency,22181,0,2010,1,1345,1902,13725,3071,127,,1,"(45.598844, -122.45232)",POINT (-122.45232 45.59884400000001)
U.S. Department of Energy Hanford Site - Richland,2016,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14174,0,4453,9714,7,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
Northwest Pipeline C/S - Sumas,2013,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,76728,0,71662,5026,40,0,0,0,0,,2,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
Northwest Pipeline C/S - Washougal,2016,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Washougal,Clark,Southwest Clean Air Agency,15702,0,13199,2495,7,0,0,0,0,,1,"(45.63236, -122.36516)",POINT (-122.36515999999999 45.63236)
Northwest Pipeline Plymouth C/S - Plymouth,2019,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Plymouth,Benton,Benton Clean Air Agency,10120,0,6905,3211,4,0,0,0,0,First year reporting.,1,"(45.9309, -119.41019)",POINT (-119.41018999999999 45.9309)
McCain Foods - Othello,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",McCain Foods USA Inc.,Othello,Adams,Ecology: Eastern Regional Office,67668,0,36830,30818,21,0,0,0,0,,2,"(46.840102, -119.172705)",POINT (-119.17270500000001 46.840102)
Land Recovery Landfill Industrial - Graham,2018,Waste,Municipal Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,181556,0,0,181556,0,0,0,0,0,,3,"(46.972405, -122.292799)",POINT (-122.292799 46.972405)
Puget Sound Energy LDC - statewide,2015,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Sound Energy,,,,58610,0,72,58537,0,0,0,0,0,,2,,
Spectrum Glass Company - Woodinville,2012,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,12025,0,12014,5,6,0,0,0,0,,1,"(47.777004, -122.148978)",POINT (-122.14897799999999 47.777004)
Green Plains Trade Group LLC,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,425120,Wholesale Trade Agents and Brokers,Green Plains Inc,,,,94746,94746,0,,,,,,,,,,
Puget Sound Energy - Encogen Generating Station - Bellingham,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Bellingham,Whatcom,Northwest Clean Air Agency,132778,0,132639,64,76,0,0,0,0,,3,"(48.746, -122.486)",POINT (-122.486 48.74600000000001)
Northwest Pipeline C/S - Mount Vernon,2015,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,65776,0,63063,2678,35,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2014,Minerals,Glass Production,327213,Glass Container Manufacturing,Owens-Illinois Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,22136,0,22121,7,8,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Puget Sound Energy - Mint Farm Generating Station - Longview,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Longview,Cowlitz,Southwest Clean Air Agency,433451,0,433011,201,239,0,0,0,0,,3,"(46.140095, -122.985138)",POINT (-122.98513800000002 46.140095)
Hampton Lumber Mills Washington Inc. - Morton,2016,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,30741,30336,0,58,347,0,0,0,0,,2,"(46.565997, -122.269573)",POINT (-122.269573 46.565997)
Inland Empire Paper Company - Spokane,2016,Pulp and Paper,TMP Mills,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,29252,17803,11200,40,210,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
Sinclair Oil Corporation,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,,,,21056,0,21056,,,,,,,,,,
TransAlta Centralia Generation LLC - Centralia,2014,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,7447081,0,7388703,21354,37024,0,0,0,0,,5,"(46.7559, -122.8578)",POINT (-122.8578 46.7559)
Tesoro Refining & Marketing Company LLC,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Marathon Petroleum Corporation,,,,5227977,294543,4933434,,,,,,,,,,
H.W. Hill Landfill Gas Power Plant - Roosevelt,2014,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,86626,86183,0,133,311,0,0,0,0,,2,"(45.807765, -120.166354)",POINT (-120.16635399999998 45.807765)
Port Townsend Paper Corporation - Port Townsend,2018,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Port Townsend Paper Corp.,Port Townsend,Jefferson,Ecology: Industrial Section,570081,503020,64027,557,2477,0,0,0,0,,3,"(48.093793, -122.796806)",POINT (-122.79680600000002 48.093793)
Puget Sound Energy - Encogen Generating Station - Bellingham,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Bellingham,Whatcom,Northwest Clean Air Agency,51680,0,51627,24,29,0,0,0,0,,2,"(48.746, -122.486)",POINT (-122.486 48.74600000000001)
U.S. Oil & Refining Co.,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Par Pacific,,,,1159448,0,1159448,,,,,,,,,,
Michelsen Packaging - Yakima,2019,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,10695,0,10685,5,6,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
Sierra Pacific Industries - Burlington - Mount Vernon,2012,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,310931,302186,2134,2578,4033,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
The Boeing Company: DC/MFC - Tukwila,2013,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Tukwila,King,Puget Sound Clean Air Agency,15665,0,15649,7,9,0,0,0,0,,1,"(47.516246, -122.298613)",POINT (-122.29861300000002 47.516246)
CHS Inc.,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,4247,Petroleum and Petroleum Products Merchant Wholesalers,CHS Inc,,,,691788,37979,653809,,,,,,,,,,
BP West Coast Products LLC,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"BP Company North America, Inc",,,,4814803,0,4814803,,,,,,,,,,
Cowlitz County Landfill - Longview,2017,Waste,Municipal Landfills,562212,Solid Waste Landfill,Cowlitz County,Longview,Cowlitz,Southwest Clean Air Agency,25683,0,0,25683,0,0,0,0,0,,2,"(46.107229, -122.905601)",POINT (-122.905601 46.107229)
WaferTech LLC - Camas,2014,Manufacturing,Electronics Manufacturing,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,189929,23,13500,6,7451,10418,89888,44088,24554,,3,"(45.619569, -122.454955)",POINT (-122.454955 45.619569)
The Boeing Company - Auburn Site - Auburn,2014,Manufacturing,Transportation,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,36691,0,36653,17,21,0,0,0,0,,2,"(47.285551, -122.242298)",POINT (-122.242298 47.285551)
Terrace Heights Landfill - Yakima,2012,Waste,Municipal Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,102488,0,16,102472,0,0,0,0,0,,3,"(46.610031, -120.39408)",POINT (-120.39407999999999 46.610031000000006)
Western Petroleum Company,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),World Fuel Services Corp.,,,,12906,239,12667,,,,,,,,,,
Phillips 66 Company,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Phillips 66 Company,,,,4761013,266360,4494653,,,,,,,,,,
Sierra Pacific Industries - Burlington - Mount Vernon,2016,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,307452,301493,1930,580,3449,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
"SEI Fuel Services, Inc.",2018,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",,,,372164,24405,347759,,,,,,,,,,
Naval Base Kitsap Bangor - Silverdale,2015,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,20166,0,20142,10,13,0,0,0,0,,1,"(47.699284, -122.696926)",POINT (-122.696926 47.699284)
BP Cherry Point Refinery - Blaine,2013,Refineries,Petroleum Refineries,324110,Petroleum Refineries,BP America Inc.,Blaine,Whatcom,Northwest Clean Air Agency,2552655,0,2535159,12063,5433,0,0,0,0,,5,"(48.8864, -122.7353)",POINT (-122.7353 48.8864)
Gas Transmission Northwest Compressor Station 6 - Rosalia,2014,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Whitman,Ecology: Eastern Regional Office,75084,0,73574,1469,41,0,0,0,0,,2,"(47.277256, -117.406737)",POINT (-117.40673699999999 47.277256)
Phillips 66 Company,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Phillips 66 Company,,,,5276097,290281,4985816,,,,,,,,,,
Gas Transmission Northwest Compressor Station 8 - Wallula,2013,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,100354,0,94964,5338,53,0,0,0,0,,3,"(46.053153, -118.843934)",POINT (-118.84393399999999 46.053153)
Nippon Dynawave - Longview,2016,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Weyerhaeuser Co.,Longview,Cowlitz,Ecology: Industrial Section,1560859,1219693,333681,1646,5839,0,0,0,0,Emissions no longer include units that split to become North Pacific Paper Company in 2016.,4,"(46.130495, -122.983637)",POINT (-122.98363700000002 46.130495)
Boeing Commercial Airplanes - Everett,2017,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,80529,0,80446,38,45,0,0,0,0,,2,"(47.918622, -122.276987)",POINT (-122.27698699999999 47.918622)
Albina Fuel Co,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Albina Fuel Co,,,,12749,13,12736,,,,,,,,,,
Bonneville Power Administration - WA Only - statewide,2014,Power Plants,Use of Electrical Equipment,221121,Electric Bulk Power Transmission and Control,US Government,,,,12800,0,0,0,0,0,0,12800,0,,1,,
Great Western Malt - Vancouver,2015,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,18273,0,18255,9,10,0,0,0,0,,1,"(45.631069, -122.690043)",POINT (-122.69004299999999 45.631069)
Roosevelt Regional Landfill - Roosevelt,2019,Waste,Municipal Landfills,562212,Solid Waste Landfill,"Republic Services, Inc.",Roosevelt,Klickitat,Ecology: Central Regional Office,241511,0,273,241238,1,0,0,0,0,,3,"(45.807146, -120.179785)",POINT (-120.179785 45.807146)
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2017,Food Production,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,11439,0,0,883,10556,0,0,0,0,,1,"(46.284622, -120.019668)",POINT (-120.019668 46.284622000000006)
Lamb Weston - Pasco,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,48326,0,48276,23,27,0,0,0,0,,2,"(46.288137, -119.115336)",POINT (-119.115336 46.288137)
